Row ID,K2 Name,K2 ID,Alt Name,RA (J2000),Dec (J2000),Disc Method,Number of Planets,Planet Radius,Planet Radius Limit Flag,Semi-Major Axis,Semi-Major Axis Flag,Orbital Eccentricity,Orbital Eccentricity Limit Flag, Orbital Inclination,Orbital Inclination Limit Flag,Planet Mass,Planet mass Limit Flag,Planet Density,Planet Density Limit Flag,Period,Period Limit Flag,Stellar Mass,Stellar Mass Limit Flag,Stellar Radius,Stellar Radius Limit Flag,Stellar Distance,Stellar  Distance limit Flag,Stellar Optical mag,Stellar Optical mag Limit Flag,Optical Mag Band Name,Stellar Teff, Stellar Teff Limit Flag,# of Planet Notes,Last Update,Gaia gmag,Kepmag,K2 Campaign
integer,string,integer,string,ra,dec,string,integer,float,integer,float,integer,float,integer,float,integer,float,integer,float,integer,float,integer,float,float,float,integer,float,integer,float,integer,string,integer,integer,integer,string,float,float,string
28,K2-97 b,211351816,K2-97 b,08 31 03.080,+10 50 51.31,Transit,1,1.310,0,,,,,,,1.100,0,0.020,0,8.406,0,1.160,0.000,4.200,0,,,12.611,0,V (Johnson),4790,0,0,2016-09-29,,12.409,5
29,K2-98 b,211391664,K2-98 b,08 25 57.189,+11 30 40.12,Transit,1,0.384,0,0.094,0,0.000,0,89.000,0,0.101,0,2.150,0,10.137,0,1.070,0.000,1.310,0,,,12.166,0,V (Johnson),6120,0,0,2016-09-29,,12.102,5
30,K2-109 b,201437844,HD 106315 b,12 13 53.394,-00 23 36.54,Transit,2,0.214,0,0.089,0,0.310,1,87.620,0,,0,,0,9.554,0,1.030,0.000,1.280,0,,,8.951,0,V (Johnson),6254,0,0,2017-09-28,8.860,9.234,10
31,K2-110 b,212521166,K2-110 b,13 49 23.888,-12 17 04.17,Transit,1,0.231,0,0.102,0,0.079,0,89.350,0,0.053,0,5.200,0,13.864,0,0.740,0.000,0.710,0,,,11.915,0,V (Johnson),5010,0,0,2017-05-18,,11.590,6
32,K2-113 b,220504338,K2-113 b,01 17 47.829,+06 52 08.02,Transit,1,0.930,0,0.056,0,0.000,0,86.210,0,1.290,0,1.970,0,5.818,0,1.010,0.000,1.050,0,,,13.684,0,V (Johnson),5627,0,1,2017-07-27,,13.514,8
33,K2-125 b,212398486,K2-125 b,13 36 34.109,-14 56 51.37,Transit,1,0.194,0,0.121,0,0.080,0,89.720,0,,0,,0,21.750,0,0.490,0.000,0.400,0,,,16.122,0,V (Johnson),3654.47,0,0,2017-10-05,,15.147,6
34,K2-126 b,212460519,K2-126 b,13 34 11.169,-13 34 36.94,Transit,1,0.164,0,0.066,0,0.060,0,89.400,0,,0,,0,7.387,0,0.700,0.000,0.620,0,,,12.918,0,V (Johnson),4367.83,0,0,2017-10-05,,12.445,6
35,K2-127 b,212554013,K2-127 b,13 48 18.812,-11 35 20.32,Transit,1,0.773,0,0.041,0,0.120,0,87.220,0,,0,,0,3.588,0,0.700,0.000,0.680,0,,,15.037,0,V (Johnson),4387.84,0,0,2017-10-05,,14.733,6
36,K2-128 b,212686205,K2-128 b,13 37 45.037,-08 35 49.43,Transit,1,0.127,0,0.056,0,0.230,0,87.400,0,,0,,0,5.676,0,0.710,0.000,0.780,0,,,12.627,0,V (Johnson),4469.51,0,0,2017-10-05,,12.256,6
37,K2-129 b,214787262,K2-129 b,19 16 35.596,-25 38 41.87,Transit,1,0.093,0,0.057,0,0.130,0,89.210,0,,0,,0,8.239,0,0.360,0.000,0.360,0,,,13.630,0,V (Johnson),3459.09,0,0,2017-10-05,,12.533,7
38,K2-130 b,217941732,K2-130 b,19 21 04.863,-19 41 26.91,Transit,1,0.112,0,0.032,0,0.170,0,86.530,0,,0,,0,2.494,0,0.700,0.000,0.740,0,,,12.759,0,V (Johnson),4356.47,0,0,2017-10-05,,12.283,7
39,K2-18 c,201912552,K2-18 c,11 30 14.509,+07 35 18.21,Radial Velocity,2,,0,0.060,0,0.470,1,,0,0.024,0,,0,8.962,0,0.360,0.000,0.410,0,34.000,0,13.496,0,V (Johnson),3457,0,1,2017-12-21,,12.473,1
40,K2-140 b,228735255,K2-140 b,12 32 32.963,-09 36 27.50,Transit,1,1.095,0,0.059,0,0.120,0,88.510,0,1.019,0,0.963,0,6.569,0,1.000,0.000,0.990,0,340.240,0,12.624,0,V (Johnson),5654,0,0,2018-01-05,12.393,12.483,10
41,K2-134 b,246441449,WASP-151 b,23 16 15.227,+00 18 24.27,Transit,1,1.130,0,0.055,0,0.003,1,89.200,0,0.310,0,0.290,0,4.533,0,1.080,0.000,1.140,0,,,12.795,0,V (Johnson),5871,0,0,2017-10-26,,12.670,12
42,K2-141 b,246393474,K2-141 b,23 23 39.968,-01 11 21.39,Transit,2,0.135,0,,0,0.000,0,86.300,0,0.016,0,8.200,0,0.280,0,0.710,0.000,0.680,0,58.770,0,11.389,0,V (Johnson),4599,0,0,2018-01-18,10.616,10.619,12
43,K2-141 c,246393474,K2-141 c,23 23 39.968,-01 11 21.39,Transit,2,0.624,0,,0,0.000,0,87.200,0,0.023,1,,0,7.748,0,0.710,0.000,0.680,0,58.770,0,11.389,0,V (Johnson),4599,0,1,2018-01-18,10.616,10.619,12
44,K2-142 b,217671466,HATS-9 b,19 23 14.425,-20 09 58.74,Transit,1,1.172,0,,0,,0,88.940,0,0.816,0,0.626,0,1.915,0,1.030,0.000,1.500,0,622.000,0,13.276,0,V (Johnson),5366,0,0,2018-01-18,,13.095,7
45,K2-143 b,216414930,HATS-11 b,19 17 36.182,-22 23 23.74,Transit,1,1.487,0,,0,,0,89.030,0,0.830,0,0.315,0,3.619,0,1.000,0.000,1.440,0,,,14.018,0,V (Johnson),6060,0,0,2018-01-18,,13.737,7
46,K2-144 b,218131080,HATS-12 b,19 16 48.574,-19 21 21.27,Transit,1,1.384,0,,0,,0,82.270,0,2.390,0,1.120,0,3.143,0,1.490,0.000,2.210,0,,,12.756,0,V (Johnson),6408,0,0,2018-01-18,,12.700,7
47,K2-145 b,215969174,HATS-36 b,19 25 54.888,-23 12 10.05,Transit,1,1.235,0,0.054,0,0.105,0,87.610,0,3.216,0,2.120,0,4.175,0,1.220,0.000,1.160,0,962.000,0,14.386,0,V (Johnson),6149,0,0,2018-01-18,14.148,14.300,7
48,K2-146 b,211924657,K2-146 b,08 40 06.427,+19 05 34.36,Transit,1,0.196,0,0.027,0,,0,,0,,0,,0,2.645,0,0.360,0.000,0.350,0,86.000,0,16.248,0,V (Johnson),3385,0,0,2018-02-01,,15.031,5
49,K2-147 b,213715787,K2-147 b,19 35 19.966,-28 29 52.20,Transit,1,0.123,0,0.016,0,,0,,0,,0,,0,0.962,0,0.580,0.000,0.550,0,88.000,0,14.019,0,V (Johnson),3672,0,0,2018-02-01,,13.355,7
50,K2-148 b,220194974,K2-148 b,00 58 04.277,-00 11 35.36,Transit,3,0.119,0,0.045,0,,0,,0,,0,,0,4.384,0,0.650,0.000,0.630,0,121.000,0,13.507,0,V (Johnson),4079,0,0,2018-02-01,,12.975,8
51,K2-148 c,220194974,K2-148 c,00 58 04.277,-00 11 35.36,Transit,3,0.154,0,0.062,0,,0,,0,,0,,0,6.923,0,0.650,0.000,0.630,0,121.000,0,13.507,0,V (Johnson),4079,0,0,2018-02-01,,12.975,8
52,K2-148 d,220194974,K2-148 d,00 58 04.277,-00 11 35.36,Transit,3,0.146,0,0.077,0,,0,,0,,0,,0,9.758,0,0.650,0.000,0.630,0,121.000,0,13.507,0,V (Johnson),4079,0,0,2018-02-01,,12.975,8
53,K2-149 b,220522664,K2-149 b,00 39 17.256,+07 16 37.56,Transit,1,0.146,0,0.083,0,,0,,0,,0,,0,11.332,0,0.590,0.000,0.570,0,118.000,0,14.484,0,V (Johnson),3745,0,0,2018-02-01,,13.787,8
54,K2-150 b,220598331,K2-150 b,01 13 22.602,+08 59 15.14,Transit,1,0.178,0,0.073,0,,0,,0,,0,,0,10.594,0,0.460,0.000,0.440,0,110.000,0,15.829,0,V (Johnson),3499,0,0,2018-02-01,,14.847,8
55,K2-151 b,220621087,K2-151 b,01 17 13.086,+09 30 04.97,Transit,1,0.120,0,0.036,0,,0,,0,,0,,0,3.836,0,0.440,0.000,0.430,0,62.700,0,14.140,0,V (Johnson),3585,0,0,2018-02-01,,13.384,8
56,K2-152 b,201128338,K2-152 b,12 06 31.871,-05 49 38.68,Transit,1,0.251,0,0.173,0,,0,,0,,0,,0,32.653,0,0.650,0.000,0.630,0,112.000,0,13.728,0,V (Johnson),3940,0,0,2018-02-01,,13.114,10
57,K2-153 b,201598502,K2-153 b,12 15 14.205,+02 01 15.43,Transit,1,0.178,0,0.060,0,,0,,0,,0,,0,7.516,0,0.510,0.000,0.490,0,126.000,0,14.979,0,V (Johnson),3720,0,0,2018-02-01,,14.331,10
58,K2-154 b,228934525,K2-154 b,12 36 00.363,-02 40 10.13,Transit,2,0.199,0,0.041,0,,0,,0,,0,,0,3.676,0,0.670,0.000,0.650,0,133.000,0,14.033,0,V (Johnson),3978,0,0,2018-02-01,,13.351,10
59,K2-154 c,228934525,K2-154 c,12 36 00.363,-02 40 10.13,Transit,2,0.187,0,0.068,0,,0,,0,,0,,0,7.955,0,0.670,0.000,0.650,0,133.000,0,14.033,0,V (Johnson),3978,0,0,2018-02-01,,13.351,10
60,K2-155 b,210897587,K2-155 b,04 21 52.487,+21 21 12.96,Transit,3,0.138,0,0.055,0,,0,,0,,0,,0,6.344,0,0.540,0.000,0.530,0,62.300,0,12.806,0,V (Johnson),3919,0,0,2018-02-01,,12.656,13
61,K2-155 c,210897587,K2-155 c,04 21 52.487,+21 21 12.96,Transit,3,0.174,0,0.092,0,,0,,0,,0,,0,13.854,0,0.540,0.000,0.530,0,62.300,0,12.806,0,V (Johnson),3919,0,0,2018-02-01,,12.656,13
62,K2-155 d,210897587,K2-155 d,04 21 52.487,+21 21 12.96,Transit,3,0.146,0,0.189,0,,0,,0,,0,,0,40.684,0,0.540,0.000,0.530,0,62.300,0,12.806,0,V (Johnson),3919,0,0,2018-02-01,,12.656,13
63,K2-156 b,201110617,K2-156 b,12 10 48.043,-06 17 39.14,Transit,1,0.102,0,,,,,84.005,0,,,,,0.813,0,0.640,0.000,0.620,0,,,13.424,0,V (Johnson),4460,0,0,2018-02-15,,12.947,10
64,K2-157 b,201130233,K2-157 b,12 15 00.322,-05 46 55.17,Transit,1,0.094,0,,,,,76.711,0,,,,,0.365,0,0.940,0.000,0.880,0,,,12.823,0,V (Johnson),5456,0,0,2018-02-15,,12.604,10
65,K2-158 b,201132684,K2-158 b,11 59 45.597,-05 43 18.15,Transit,1,0.235,0,,,,,88.405,0,,,,,10.062,0,0.930,0.000,0.890,0,,,11.774,0,V (Johnson),5489,0,0,2018-02-15,,11.678,10
66,K2-159 b,201225286,K2-159 b,12 02 09.815,-03 34 50.60,Transit,1,0.197,0,,,,,89.065,0,,,,,12.421,0,0.890,0.000,0.830,0,,,11.994,0,V (Johnson),5419,0,0,2018-02-15,,11.729,10
67,K2-160 b,201227197,K2-160 b,12 16 13.099,-03 33 11.10,Transit,1,0.284,0,,,,,88.254,0,,,,,3.706,0,0.980,0.000,0.910,0,,,12.649,0,V (Johnson),5649,0,0,2018-02-15,,12.486,10
68,K2-161 b,201231064,K2-161 b,12 15 10.521,-03 29 44.20,Transit,1,0.546,0,,,,,87.251,0,,,,,9.283,0,0.990,0.000,2.570,0,,,12.631,0,V (Johnson),4972,0,0,2018-02-15,,12.358,10
69,K2-162 b,201390048,K2-162 b,12 24 09.280,-01 06 40.86,Transit,1,0.133,0,,,,,88.761,0,,,,,9.458,0,0.780,0.000,0.730,0,,,12.300,0,V (Johnson),4885,0,0,2018-02-15,,11.961,10
70,K2-163 b,201427874,K2-163 b,12 09 19.043,-00 32 20.60,Transit,1,0.220,0,,,,,88.253,0,,,,,6.673,0,0.830,0.000,0.760,0,,,13.129,0,V (Johnson),4937,0,0,2018-02-15,,12.819,10
71,K2-164 b,201460826,K2-164 b,11 27 44.081,-00 03 46.22,Transit,1,0.290,0,,,,,87.890,0,,,,,17.355,0,1.180,0.000,2.200,0,,,11.235,0,V (Johnson),5791,0,0,2018-02-15,,11.130,1
72,K2-165 b,201528828,K2-165 b,12 19 36.079,+00 58 06.23,Transit,3,0.114,0,,,,,87.083,0,,,,,2.355,0,0.830,0.000,0.800,0,,,11.331,0,V (Johnson),5185,0,0,2018-02-15,,11.415,10
73,K2-165 c,201528828,K2-165 c,12 19 36.079,+00 58 06.23,Transit,3,0.139,0,,,,,87.054,0,,,,,4.383,0,0.830,0.000,0.800,0,,,11.331,0,V (Johnson),5185,0,0,2018-02-15,,11.415,10
74,K2-30 b,210957318,K2-30 b,03 29 22.071,+22 17 57.85,Transit,1,1.039,0,0.048,0,0.000,0,86.920,0,0.579,0,0.640,0,4.099,0,0.900,0.000,0.840,0,,,13.530,0,V (Johnson),5425,0,0,2016-04-14,,13.171,4
75,K2-95 b,211916756,K2-95 b,08 37 27.059,+18 58 36.07,Transit,1,0.310,0,0.065,0,,,88.770,0,0.035,0,,,10.134,0,0.360,0.000,0.400,0,,,15.498,0,Kepler-band,3471,0,2,2016-09-08,,15.498,5
76,K2-96 b,220383386,HD 3167 b,00 34 57.524,+04 22 53.29,Transit,3,0.152,0,0.018,0,0.000,0,83.400,0,0.016,0,5.600,0,0.960,0,0.860,0.000,0.860,0,45.800,0,8.940,0,V (Johnson),5261,0,0,2017-06-08,,8.945,8
77,K2-96 c,220383386,HD 3167 c,00 34 57.524,+04 22 53.29,Transit,3,0.269,0,0.179,0,0.267,1,89.300,0,0.031,0,1.970,0,29.845,0,0.860,0.000,0.860,0,45.800,0,8.940,0,V (Johnson),5261,0,0,2017-06-08,,8.945,8
78,K2-99 b,212803289,K2-99 b,13 55 05.698,-05 26 32.88,Transit,1,1.290,0,0.159,0,0.190,0,87.700,0,0.970,0,,,18.249,0,1.600,0.000,3.100,0,,,11.149,0,V (Johnson),5990,0,0,2016-10-06,10.891,11.014,6
79,K2-100 b,211990866,K2-100 b,08 38 24.302,+20 06 21.83,Transit,1,0.312,0,,,0.240,0,85.100,0,,,,,1.674,0,1.180,0.000,1.190,0,,,10.651,0,V (Johnson),6120,0,1,2016-12-21,,10.408,5
80,K2-101 b,211913977,K2-101 b,08 41 22.581,+18 56 01.95,Transit,1,0.178,0,,,0.100,0,89.400,0,,,,,14.677,0,0.800,0.000,0.730,0,,,12.957,0,V (Johnson),4819,0,1,2016-12-21,,12.619,5
81,K2-102 b,211970147,K2-102 b,08 40 13.451,+19 46 43.72,Transit,1,0.116,0,,,0.100,0,89.000,0,,,,,9.916,0,0.770,0.000,0.710,0,,,13.200,0,V (Johnson),4695,0,1,2016-12-21,,12.872,5
82,K2-103 b,211822797,EPIC 211822797 b,08 41 38.489,+17 38 24.02,Transit,1,0.177,0,0.131,0,0.060,0,89.730,0,,0,,0,21.170,0,0.660,0.000,0.570,0,,,15.256,0,V (Johnson),4148.21,0,1,2017-10-26,,14.568,5
83,K2-104 b,211969807,K2-104 b,08 38 32.820,+19 46 25.78,Transit,1,0.175,0,0.023,0,0.090,0,88.000,0,,0,,0,1.974,0,0.430,0.000,0.490,0,,,15.149,0,Kepler-band,3546.46,0,1,2017-10-26,,15.149,5
84,K2-107 b,216468514,K2-107 b,18 59 56.492,-22 17 36.25,Transit,1,1.440,0,0.048,0,0.000,0,81.900,0,0.840,0,0.350,0,3.314,0,1.300,0.000,1.780,0,,,12.920,0,V (Johnson),6030,0,1,2017-02-02,,12.749,7
85,K2-111 b,210894022,K2-111 b,03 59 33.541,+21 17 55.27,Transit,1,0.170,0,0.062,0,0.000,0,86.200,0,0.027,0,6.600,0,5.351,0,0.880,0.000,1.230,0,,,11.137,0,V (Johnson),5730,0,0,2017-05-10,,12.300,4
86,K2-135 b,246389858,GJ 9827 b,23 27 04.834,-01 17 10.58,Transit,3,0.156,0,0.020,0,,0,85.080,0,,0,,0,1.209,0,0.660,0.000,0.650,0,30.300,0,10.510,0,V (Johnson),4255,0,0,2017-11-02,,10.277,12
87,K2-135 c,246389858,GJ 9827 c,23 27 04.834,-01 17 10.58,Transit,3,0.121,0,0.042,0,,0,87.810,0,,0,,0,3.648,0,0.660,0.000,0.650,0,30.300,0,10.510,0,V (Johnson),4255,0,0,2017-11-02,,10.277,12
88,K2-135 d,246389858,GJ 9827 d,23 27 04.834,-01 17 10.58,Transit,3,0.187,0,0.060,0,,0,87.390,0,,0,,0,6.201,0,0.660,0.000,0.650,0,30.300,0,10.510,0,V (Johnson),4255,0,0,2017-11-02,,10.277,12
89,K2-136 b,247589423,K2-136 b,04 29 38.990,+22 52 57.80,Transit,3,0.088,0,,0,0.100,0,89.300,0,,0,,0,7.975,0,0.740,0.000,0.660,0,,,,,,4499,0,0,2017-11-09,,,13
90,K2-136 c,247589423,K2-136 c,04 29 38.990,+22 52 57.80,Transit,3,0.260,0,,0,0.130,0,89.600,0,,0,,0,17.307,0,0.740,0.000,0.660,0,,,,,,4499,0,0,2017-11-09,,,13
91,K2-136 d,247589423,K2-136 d,04 29 38.990,+22 52 57.80,Transit,3,0.129,0,,0,0.140,0,89.400,0,,0,,0,25.575,0,0.740,0.000,0.660,0,,,,,,4499,0,0,2017-11-09,,,13
92,K2-139 b,218916923,K2-139 b,19 16 15.967,-17 54 38.48,Transit,1,0.808,0,0.179,0,0.120,0,89.620,0,0.387,0,0.910,0,28.382,0,0.920,0.000,0.860,0,152.000,0,11.653,0,V (Johnson),5340,0,0,2017-12-14,11.373,11.470,7
93,K2-165 d,201528828,K2-165 d,12 19 36.079,+00 58 06.23,Transit,3,0.236,0,,,,,89.002,0,,,,,14.101,0,0.830,0.000,0.800,0,,,11.331,0,V (Johnson),5185,0,0,2018-02-15,,11.415,10
94,K2-166 b,201615463,K2-166 b,12 20 45.190,+02 16 56.77,Transit,1,0.163,0,,,,,87.429,0,,,,,8.527,0,1.070,0.000,1.200,0,,,12.074,0,V (Johnson),5922,0,0,2018-02-15,,11.964,10
95,K2-167 b,205904628,K2-167 b,22 26 18.186,-18 00 40.22,Transit,1,0.252,0,,,,,88.604,0,,,,,9.977,0,1.020,0.000,1.830,0,78.120,0,8.239,0,V (Johnson),5908,0,0,2018-02-15,,8.220,3
96,K2-168 b,205950854,K2-168 b,22 12 26.375,-16 20 30.32,Transit,1,0.191,0,,,,,88.948,0,,,,,15.854,0,0.910,0.000,0.870,0,,,12.291,0,V (Johnson),5554,0,0,2018-02-15,,12.105,3
97,K2-169 b,206007892,K2-169 b,22 28 10.627,-14 35 57.77,Transit,1,0.114,0,,,,,87.837,0,,,,,6.381,0,0.990,0.000,0.920,0,,,12.229,0,V (Johnson),5548,0,0,2018-02-15,,12.023,3
98,K2-170 b,206008091,K2-170 b,22 21 48.171,-14 35 35.83,Transit,2,0.127,0,,,,,87.989,0,,,,,7.577,0,0.960,0.000,0.980,0,,,12.633,0,V (Johnson),5748,0,0,2018-02-15,,12.506,3
99,K2-170 c,206008091,K2-170 c,22 21 48.171,-14 35 35.83,Transit,2,0.161,0,,,,,88.668,0,,,,,12.400,0,0.960,0.000,0.980,0,,,12.633,0,V (Johnson),5748,0,0,2018-02-15,,12.506,3
100,K2-171 b,206049764,K2-171 b,22 09 21.797,-13 25 43.91,Transit,1,0.240,0,,,,,85.048,0,,,,,5.628,0,0.890,0.000,1.720,0,,,12.660,0,V (Johnson),5250,0,0,2018-02-15,,12.445,3
101,K2-172 b,206082454,K2-172 b,22 21 14.011,-12 33 24.84,Transit,2,0.149,0,,,,,88.914,0,,,,,14.317,0,0.930,0.000,0.870,0,,,12.438,0,V (Johnson),5569,0,0,2018-02-15,,12.308,3
102,K2-172 c,206082454,K2-172 c,22 21 14.011,-12 33 24.84,Transit,2,0.286,0,,,,,89.497,0,,,,,29.627,0,0.930,0.000,0.870,0,,,12.438,0,V (Johnson),5569,0,0,2018-02-15,,12.308,3
103,K2-80 d,210403955,K2-80  d,03 56 08.997,+13 33 33.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.388,4
104,K2-173 b,210512842,K2-173 b,04 01 29.988,+15 37 30.13,Transit,1,0.143,0,,,,,87.826,0,,,,,5.869,0,0.880,0.000,0.840,0,,,12.403,0,V (Johnson),5580,0,0,2018-02-15,,12.106,4
105,K2-174 b,210558622,K2-174 b,04 03 10.282,+16 20 50.81,Transit,1,0.222,0,,,,,88.944,0,,,,,19.563,0,0.670,0.000,0.640,0,,,12.424,0,V (Johnson),4500,0,0,2018-02-15,,12.034,4
106,K2-175 b,210643811,K2-175 b,03 30 00.859,+17 35 03.09,Transit,1,0.182,0,,,,,87.494,0,,,,,9.526,0,1.090,0.000,1.420,0,,,10.836,0,V (Johnson),5909,0,0,2018-02-15,,10.632,4
107,K2-176 b,210667381,K2-176 b,03 53 04.600,+17 54 25.46,Transit,1,0.133,0,,,,,88.063,0,,,,,5.329,0,0.940,0.000,0.860,0,,,12.893,0,V (Johnson),5428,0,0,2018-02-15,,12.674,4
108,K2-177 b,210857328,K2-177 b,03 40 55.096,+20 44 09.88,Transit,1,0.189,0,,,,,87.220,0,,,,,14.155,0,1.210,0.000,1.210,0,,,12.645,0,V (Johnson),6063,0,0,2018-02-15,,12.584,4
109,K2-178 b,210965800,K2-178 b,03 31 33.332,+22 26 05.53,Transit,1,0.317,0,,,,,88.611,0,,,,,8.748,0,0.950,0.000,0.890,0,,,12.403,0,V (Johnson),5525,0,0,2018-02-15,,12.134,4
110,K2-179 b,211048999,K2-179 b,03 55 11.256,+23 45 24.51,Transit,1,0.224,0,,,,,88.755,0,,,,,5.172,0,0.820,0.000,0.770,0,,,12.956,0,V (Johnson),5015,0,0,2018-02-15,,12.659,4
111,K2-180 b,211319617,K2-180 b,08 25 51.345,+10 14 49.08,Transit,1,0.215,0,,,,,88.730,0,,,,,8.866,0,0.730,0.000,0.680,0,,,12.601,0,V (Johnson),5263,0,0,2018-02-15,,12.393,5
112,K2-181 b,211355342,K2-181 b,08 30 12.967,+10 54 37.06,Transit,1,0.241,0,,,,,88.616,0,,,,,6.894,0,1.040,0.000,1.000,0,,,12.749,0,V (Johnson),5609,0,0,2018-02-15,,12.637,5
113,K2-182 b,211359660,K2-182 b,08 40 43.279,+10 58 58.59,Transit,1,0.247,0,,,,,88.279,0,,,,,4.737,0,0.850,0.000,0.790,0,,,11.997,0,V (Johnson),5159,0,0,2018-02-15,,11.742,5
114,K2-183 b,211562654,K2-183 b,08 20 01.717,+14 01 10.06,Transit,3,0.232,0,,,,,25.034,0,,,,,0.469,0,0.940,0.000,0.870,0,,,12.846,0,V (Johnson),5482,0,0,2018-02-15,,12.754,5
115,K2-183 c,211562654,K2-183 c,08 20 01.717,+14 01 10.06,Transit,3,0.224,0,,,,,88.414,0,,,,,10.793,0,0.940,0.000,0.870,0,,,12.846,0,V (Johnson),5482,0,0,2018-02-15,,12.754,5
116,K2-183 d,211562654,K2-183 d,08 20 01.717,+14 01 10.06,Transit,3,0.227,0,,,,,89.375,0,,,,,22.629,0,0.940,0.000,0.870,0,,,12.846,0,V (Johnson),5482,0,0,2018-02-15,,12.754,5
117,K2-184 b,211594205,K2-184 b,08 36 33.625,+14 27 42.97,Transit,1,0.137,0,,,,,89.466,0,,,,,16.993,0,0.820,0.000,0.760,0,,,10.345,0,V (Johnson),5252,0,0,2018-02-15,,10.680,5
118,K2-185 b,211611158,K2-185 b,08 41 02.318,+14 41 25.15,Transit,1,0.117,0,,,,,88.932,0,,,,,10.617,0,0.980,0.000,0.910,0,,,12.215,0,V (Johnson),5722,0,0,2018-02-15,,12.414,5
119,K2-186 b,211906650,K2-186 b,09 01 20.394,+18 49 31.64,Transit,1,0.283,0,,,,,89.524,0,,,,,41.474,0,1.020,0.000,0.980,0,,,12.307,0,V (Johnson),5784,0,0,2018-02-15,,12.193,5
120,K2-187 b,212157262,K2-187 b,08 50 05.665,+23 11 33.36,Transit,4,0.123,0,,,,,81.930,0,,,,,0.774,0,0.970,0.000,0.890,0,,,13.081,0,V (Johnson),5477,0,0,2018-02-15,,12.864,5
121,K2-187 c,212157262,K2-187 c,08 50 05.665,+23 11 33.36,Transit,4,0.152,0,,,,,86.067,0,,,,,2.872,0,0.970,0.000,0.890,0,,,13.081,0,V (Johnson),5477,0,0,2018-02-15,,12.864,5
122,K2-187 d,212157262,K2-187 d,08 50 05.665,+23 11 33.36,Transit,4,0.287,0,,,,,87.483,0,,,,,7.149,0,0.970,0.000,0.890,0,,,13.081,0,V (Johnson),5477,0,0,2018-02-15,,12.864,5
123,K2-187 e,212157262,K2-187 e,08 50 05.665,+23 11 33.36,Transit,4,0.201,0,,,,,88.970,0,,,,,13.608,0,0.970,0.000,0.890,0,,,13.081,0,V (Johnson),5477,0,0,2018-02-15,,12.864,5
124,K2-188 b,212164470,K2-188 b,08 39 15.271,+23 21 26.93,Transit,2,0.112,0,,,,,83.928,0,,,,,1.743,0,1.110,0.000,1.110,0,,,12.646,0,V (Johnson),5982,0,0,2018-02-15,,12.704,5
125,K2-188 c,212164470,K2-188 c,08 39 15.271,+23 21 26.93,Transit,2,0.234,0,,,,,88.098,0,,,,,7.808,0,1.110,0.000,1.110,0,,,12.646,0,V (Johnson),5982,0,0,2018-02-15,,12.704,5
126,K2-189 b,212394689,K2-189 b,13 34 29.110,-15 02 10.89,Transit,2,0.135,0,,,,,88.113,0,,,,,5.176,0,0.930,0.000,0.860,0,,,12.399,0,V (Johnson),5503,0,0,2018-02-15,,12.206,6
127,K2-189 c,212394689,K2-189 c,13 34 29.110,-15 02 10.89,Transit,2,0.222,0,,,,,88.183,0,,,,,6.679,0,0.930,0.000,0.860,0,,,12.399,0,V (Johnson),5503,0,0,2018-02-15,,12.206,6
128,K2-190 b,212480208,K2-190 b,13 41 27.239,-13 09 39.23,Transit,2,0.121,0,,,,,88.357,0,,,,,10.099,0,0.900,0.000,0.910,0,,,11.138,0,V (Johnson),5631,0,0,2018-02-15,,10.892,6
129,K2-190 c,212480208,K2-190 c,13 41 27.239,-13 09 39.23,Transit,2,0.098,0,,,,,88.977,0,,,,,21.574,0,0.900,0.000,0.910,0,,,11.138,0,V (Johnson),5631,0,0,2018-02-15,,10.892,6
130,K2-191 b,212496592,K2-191 b,13 26 33.402,-12 48 23.64,Transit,1,0.141,0,,,,,87.051,0,,,,,2.859,0,0.900,0.000,0.840,0,,,13.258,0,V (Johnson),5176,0,0,2018-02-15,,12.966,6
131,K2-192 b,212555594,K2-192 b,13 46 19.746,-11 33 22.51,Transit,1,0.140,0,,,,,88.392,0,,,,,4.163,0,0.870,0.000,0.830,0,,,12.704,0,V (Johnson),5252,0,0,2018-02-15,,12.482,6
132,K2-193 b,212580872,K2-193 b,13 40 56.895,-11 00 33.47,Transit,1,0.358,0,,,,,89.193,0,,,,,14.787,0,0.990,0.000,0.960,0,,,13.251,0,V (Johnson),5623,0,0,2018-02-15,,13.047,6
133,K2-194 b,212672300,K2-194 b,13 38 26.144,-08 55 37.74,Transit,1,0.325,0,,,,,89.065,0,,,,,39.721,0,1.110,0.000,1.280,0,,,12.908,0,V (Johnson),5979,0,0,2018-02-15,,12.846,6
134,K2-195 b,212689874,K2-195 b,13 19 19.563,-08 30 34.13,Transit,2,0.262,0,,,,,89.041,0,,,,,15.854,0,0.960,0.000,0.910,0,,,12.497,0,V (Johnson),5712,0,0,2018-02-15,,12.330,6
135,K2-195 c,212689874,K2-195 c,13 19 19.563,-08 30 34.13,Transit,2,0.230,0,,,,,88.537,0,,,,,28.483,0,0.960,0.000,0.910,0,,,12.497,0,V (Johnson),5712,0,0,2018-02-15,,12.330,6
136,K2-196 b,212691422,K2-196 b,13 21 49.523,-08 28 18.20,Transit,1,0.321,0,,,,,88.274,0,,,,,48.324,0,1.160,0.000,1.540,0,,,12.060,0,V (Johnson),6045,0,0,2018-02-15,,11.923,6
