Row ID,K2 Name,K2 ID,Alt Name,RA (J2000),Dec (J2000),Disc Method,Number of Planets,Planet Radius,Planet Radius Limit Flag,Semi-Major Axis,Semi-Major Axis Flag,Orbital Eccentricity,Orbital Eccentricity Limit Flag, Orbital Inclination,Orbital Inclination Limit Flag,Planet Mass,Planet mass Limit Flag,Planet Density,Planet Density Limit Flag,Period,Period Limit Flag,Stellar Mass,Stellar Mass Limit Flag,Stellar Radius,Stellar Radius Limit Flag,Stellar Distance,Stellar  Distance limit Flag,Stellar Optical mag,Stellar Optical mag Limit Flag,Optical Mag Band Name,Stellar Teff, Stellar Teff Limit Flag,# of Planet Notes,Last Update,Gaia gmag,Kepmag,K2 Campaign
integer,string,integer,string,ra,dec,string,integer,float,integer,float,integer,float,integer,float,integer,float,integer,float,integer,float,integer,float,float,float,integer,float,integer,float,integer,string,integer,integer,integer,string,float,float,string
141,K2-200 b,212828909,K2-200 b,13 29 00.384,-04 36 36.82,Transit,1,0.122,0,,,,,87.968,0,,,,,2.850,0,0.860,0.000,0.790,0,,,12.459,0,V (Johnson),5233,0,0,2018-02-15,,12.244,6
142,K2-201 b,216008129,K2-201 b,19 34 14.575,-23 07 51.73,Transit,2,0.125,0,,,,,84.414,0,,,,,1.060,0,0.960,0.000,0.880,0,,,12.809,0,V (Johnson),5507,0,0,2018-02-15,,11.966,7
143,K2-201 c,216008129,K2-201 c,19 34 14.575,-23 07 51.73,Transit,2,0.293,0,,,,,89.272,0,,,,,22.780,0,0.960,0.000,0.880,0,,,12.809,0,V (Johnson),5507,0,0,2018-02-15,,11.966,7
144,K2-202 b,216405287,K2-202 b,18 53 03.428,-22 24 25.32,Transit,1,0.205,0,,,,,87.672,0,,,,,3.405,0,0.970,0.000,0.910,0,,,13.297,0,V (Johnson),5491,0,0,2018-02-15,,12.997,7
145,K2-203 b,220170303,K2-203 b,00 51 05.698,-01 11 45.21,Transit,1,0.122,0,,,,,88.430,0,,,,,9.695,0,0.790,0.000,0.760,0,,,12.353,0,V (Johnson),5000,0,0,2018-02-15,,12.114,8
146,K2-204 b,220186645,K2-204 b,01 09 31.806,-00 31 03.43,Transit,1,0.272,0,,,,,87.649,0,,,,,7.056,0,1.010,0.000,1.180,0,,,13.010,0,V (Johnson),5755,0,0,2018-02-15,,12.961,8
147,K2-205 b,220211923,K2-205 b,01 00 52.197,+00 25 33.59,Transit,1,0.178,0,,,,,89.097,0,,,,,26.672,0,0.950,0.000,1.080,0,,,12.391,0,V (Johnson),5890,0,0,2018-02-15,,12.250,8
148,K2-206 b,220216730,K2-206 b,00 45 01.515,+00 35 35.73,Transit,1,0.249,0,,,,,89.112,0,,,,,18.295,0,0.790,0.000,0.760,0,,,13.100,0,V (Johnson),5043,0,0,2018-02-15,,12.826,8
149,K2-207 b,220218012,K2-207 b,00 46 47.929,+00 38 26.87,Transit,1,0.232,0,,,,,88.620,0,,,,,12.487,0,0.940,0.000,0.930,0,,,13.166,0,V (Johnson),5522,0,0,2018-02-15,,12.971,8
150,K2-208 b,220225178,K2-208 b,01 23 06.983,+00 53 21.04,Transit,1,0.150,0,,,,,88.043,0,,,,,4.191,0,0.930,0.000,0.860,0,,,12.503,0,V (Johnson),5582,0,0,2018-02-15,,12.302,8
